Case_ID,Activity,Timestamp,Priority,Category,Agent
TKT-1000,Ticket Created,2024-09-27 00:00:00.000000,Medium,Email,Agent11
TKT-1000,Initial Triage,2024-09-27 02:26:57.219002,Medium,Email,Agent5
TKT-1000,Assigned to Agent,2024-09-27 04:32:28.888741,Medium,Email,Agent3
TKT-1000,Investigation Started,2024-09-27 05:23:28.572680,Medium,Email,Agent11
TKT-1000,Awaiting Customer Response,2024-09-27 13:24:08.713103,Medium,Email,Agent8
TKT-1000,Solution Proposed,2024-09-27 17:39:24.705616,Medium,Email,Agent5
TKT-1000,Solution Implemented,2024-09-28 09:14:08.162165,Medium,Email,Agent12
TKT-1000,Customer Verification,2024-10-01 05:32:55.547312,Medium,Email,Agent2
TKT-1000,Ticket Closed,2024-10-01 06:19:17.402135,Medium,Email,Agent5
TKT-1001,Ticket Created,2024-01-22 00:00:00.000000,Medium,Software,Agent13
TKT-1001,Initial Triage,2024-01-22 01:34:47.505168,Medium,Software,Agent1
TKT-1001,Assigned to Agent,2024-01-22 06:15:11.826607,Medium,Software,Agent10
TKT-1001,Investigation Started,2024-01-22 06:54:59.813963,Medium,Software,Agent12
TKT-1001,Awaiting Customer Response,2024-01-25 02:41:57.600508,Medium,Software,Agent14
TKT-1001,Solution Proposed,2024-01-25 04:41:51.728587,Medium,Software,Agent7
TKT-1001,Solution Implemented,2024-01-25 20:27:46.565232,Medium,Software,Agent9
TKT-1001,Customer Verification,2024-01-26 11:14:59.854380,Medium,Software,Agent3
TKT-1001,Ticket Closed,2024-01-26 12:46:13.515088,Medium,Software,Agent9
TKT-1002,Ticket Created,2024-03-29 00:00:00.000000,Low,Access,Agent12
TKT-1002,Initial Triage,2024-03-29 01:54:29.593961,Low,Access,Agent10
TKT-1002,Assigned to Agent,2024-03-29 05:02:25.860944,Low,Access,Agent5
TKT-1002,Investigation Started,2024-03-29 06:20:55.123147,Low,Access,Agent12
TKT-1002,Awaiting Customer Response,2024-03-30 18:03:51.537109,Low,Access,Agent13
TKT-1002,Solution Proposed,2024-03-30 23:13:49.045520,Low,Access,Agent3
TKT-1002,Solution Implemented,2024-03-31 13:57:38.793785,Low,Access,Agent4
TKT-1002,Customer Verification,2024-04-01 12:53:41.788747,Low,Access,Agent4
TKT-1002,Ticket Closed,2024-04-01 13:51:45.028558,Low,Access,Agent6
TKT-1003,Ticket Created,2024-11-05 00:00:00.000000,Low,Access,Agent13
TKT-1003,Initial Triage,2024-11-05 02:55:26.261650,Low,Access,Agent10
TKT-1003,Assigned to Agent,2024-11-05 07:04:20.065811,Low,Access,Agent10
TKT-1003,Investigation Started,2024-11-05 10:42:14.890426,Low,Access,Agent14
TKT-1003,Awaiting Customer Response,2024-11-05 15:58:10.358103,Low,Access,Agent14
TKT-1003,Solution Proposed,2024-11-05 17:56:58.049627,Low,Access,Agent9
TKT-1003,Solution Implemented,2024-11-06 09:24:21.119654,Low,Access,Agent5
TKT-1003,Customer Verification,2024-11-07 20:43:35.414227,Low,Access,Agent2
TKT-1003,Ticket Closed,2024-11-07 22:02:09.751742,Low,Access,Agent8
TKT-1004,Ticket Created,2024-07-06 00:00:00.000000,Medium,Access,Agent12
TKT-1004,Initial Triage,2024-07-06 01:11:23.992638,Medium,Access,Agent13
TKT-1004,Assigned to Agent,2024-07-06 07:48:19.356553,Medium,Access,Agent1
TKT-1004,Investigation Started,2024-07-06 08:21:36.375278,Medium,Access,Agent9
TKT-1004,Awaiting Customer Response,2024-07-06 12:20:50.139813,Medium,Access,Agent8
TKT-1004,Solution Proposed,2024-07-06 13:25:03.576622,Medium,Access,Agent3
TKT-1004,Solution Implemented,2024-07-07 01:18:49.186752,Medium,Access,Agent3
TKT-1004,Customer Verification,2024-07-09 12:43:27.103507,Medium,Access,Agent11
TKT-1004,Ticket Closed,2024-07-09 13:20:06.944626,Medium,Access,Agent7
TKT-1005,Ticket Created,2024-05-14 00:00:00.000000,Medium,Access,Agent9
TKT-1005,Initial Triage,2024-05-14 02:03:29.683141,Medium,Access,Agent2
TKT-1005,Assigned to Agent,2024-05-14 03:43:34.018077,Medium,Access,Agent7
TKT-1005,Investigation Started,2024-05-14 05:18:52.395331,Medium,Access,Agent8
TKT-1005,Awaiting Customer Response,2024-05-14 13:13:39.115688,Medium,Access,Agent6
TKT-1005,Solution Proposed,2024-05-14 18:39:48.945054,Medium,Access,Agent1
TKT-1005,Solution Implemented,2024-05-15 02:01:28.459542,Medium,Access,Agent14
TKT-1005,Customer Verification,2024-05-17 16:57:33.845583,Medium,Access,Agent5
TKT-1005,Ticket Closed,2024-05-17 18:18:04.742450,Medium,Access,Agent14
TKT-1006,Ticket Created,2024-07-25 00:00:00.000000,Medium,Hardware,Agent10
TKT-1006,Initial Triage,2024-07-25 00:33:48.772141,Medium,Hardware,Agent13
TKT-1006,Assigned to Agent,2024-07-25 02:58:32.096040,Medium,Hardware,Agent7
TKT-1006,Investigation Started,2024-07-25 05:08:21.760852,Medium,Hardware,Agent13
TKT-1006,Awaiting Customer Response,2024-07-29 20:15:56.734241,Medium,Hardware,Agent7
TKT-1006,Solution Proposed,2024-07-30 00:17:16.247068,Medium,Hardware,Agent11
TKT-1006,Solution Implemented,2024-07-30 05:07:50.532795,Medium,Hardware,Agent13
TKT-1006,Customer Verification,2024-07-30 21:44:58.193318,Medium,Hardware,Agent11
TKT-1006,Ticket Closed,2024-07-30 23:17:30.031956,Medium,Hardware,Agent12
TKT-1007,Ticket Created,2024-03-02 00:00:00.000000,Critical,Email,Agent9
TKT-1007,Initial Triage,2024-03-02 00:45:49.448338,Critical,Email,Agent12
TKT-1007,Assigned to Agent,2024-03-02 07:23:21.984676,Critical,Email,Agent12
